,acc,val_acc,loss,val_loss,f1_m,val_f1_m
0,0.7274678349494934,0.7425000071525574,0.579081654548645,0.5665283799171448,0.6740821599960327,0.6120476722717285
1,0.7288984060287476,0.7975000143051147,0.5716328620910645,0.5172719359397888,0.6694021821022034,0.7092857360839844
2,0.7532188892364502,0.7900000214576721,0.5419967770576477,0.5278863906860352,0.6885858774185181,0.7120477557182312
3,0.7482117414474487,0.6725000143051147,0.5447885990142822,0.6809139251708984,0.7013885378837585,0.46823805570602417
4,0.7403433322906494,0.7699999809265137,0.5492786169052124,0.5457332730293274,0.6998783946037292,0.6807143688201904
5,0.7532188892364502,0.6575000286102295,0.5356278419494629,0.7597880363464355,0.7123816609382629,0.43700000643730164
6,0.7560800909996033,0.7850000262260437,0.5303629636764526,0.5004525184631348,0.7192659974098206,0.7121904492378235
7,0.7560800909996033,0.7674999833106995,0.5317726135253906,0.5468548536300659,0.698517918586731,0.6576191782951355
8,0.7668097019195557,0.699999988079071,0.5144389867782593,0.6277065277099609,0.7237424254417419,0.5062381625175476
9,0.7653791308403015,0.7599999904632568,0.5275037884712219,0.5279785394668579,0.7075517177581787,0.6743809580802917
