,acc,val_acc,loss,val_loss,f1_m,val_f1_m
0,0.7795918583869934,0.7857142686843872,0.5038710832595825,0.46832704544067383,0.8065284490585327,0.7224867343902588
1,0.7632653117179871,0.5857142806053162,0.4915722906589508,0.6224884986877441,0.8024576306343079,0.4259258806705475
2,0.7510204315185547,0.8857142925262451,0.5271540880203247,0.4018690288066864,0.7672810554504395,0.864814817905426
3,0.7795918583869934,0.9142857193946838,0.5063525438308716,0.33204901218414307,0.7955452799797058,0.8962963819503784
4,0.8040816187858582,0.8428571224212646,0.44618430733680725,0.42725643515586853,0.8089861273765564,0.8285714387893677
5,0.8367347121238708,0.8285714387893677,0.4550248682498932,0.3785873353481293,0.8622888922691345,0.7873015403747559
6,0.8081632852554321,0.8857142925262451,0.4634619653224945,0.2943596839904785,0.8458525538444519,0.87671959400177
7,0.795918345451355,0.8999999761581421,0.48425236344337463,0.3007468283176422,0.800076961517334,0.8878307342529297
8,0.800000011920929,0.8857142925262451,0.43138912320137024,0.3543003499507904,0.8185868263244629,0.8693121075630188
9,0.795918345451355,0.8857142925262451,0.4260817766189575,0.32404187321662903,0.8198925256729126,0.8687831163406372
10,0.8081632852554321,0.9142857193946838,0.41460999846458435,0.2442777156829834,0.8049922585487366,0.8878307342529297
11,0.8081632852554321,0.8999999761581421,0.41930273175239563,0.28919509053230286,0.8493856191635132,0.888359785079956
12,0.8204081654548645,0.9142857193946838,0.38635534048080444,0.2702597975730896,0.8488478660583496,0.8957672119140625
13,0.8081632852554321,0.8999999761581421,0.4213833212852478,0.2644413113594055,0.8202764391899109,0.87671959400177
14,0.8204081654548645,0.8571428656578064,0.38991621136665344,0.38610854744911194,0.8479261994361877,0.8476191163063049
15,0.8408163189888,0.8714285492897034,0.36362171173095703,0.29221054911613464,0.8623656630516052,0.8656084537506104
16,0.8285714387893677,0.8857142925262451,0.42689910531044006,0.3159344494342804,0.8338710069656372,0.8841269612312317
17,0.8204081654548645,0.8857142925262451,0.38414081931114197,0.329068124294281,0.8428571224212646,0.879365086555481
18,0.8530611991882324,0.8714285492897034,0.3897760510444641,0.28507500886917114,0.8536097407341003,0.8656084537506104
