,acc,val_acc,loss,val_loss,f1_m,val_f1_m
0,0.9128571152687073,0.9399999976158142,0.22785097360610962,0.17167678475379944,0.8736600279808044,0.8858094811439514
1,0.9114285707473755,0.949999988079071,0.23811571300029755,0.1542719453573227,0.8348025679588318,0.9091427326202393
2,0.9157142639160156,0.9399999976158142,0.23213566839694977,0.16452594101428986,0.839537501335144,0.8958094716072083
3,0.927142858505249,0.925000011920929,0.22355453670024872,0.18055099248886108,0.8682994842529297,0.8704761266708374
4,0.9114285707473755,0.9350000023841858,0.2343655675649643,0.18340151011943817,0.857904851436615,0.8918095231056213
5,0.9142857193946838,0.9350000023841858,0.2502588927745819,0.1813986897468567,0.8494422435760498,0.8878095149993896
6,0.9214285612106323,0.9350000023841858,0.22993353009223938,0.17179453372955322,0.8530068397521973,0.9078094363212585
7,0.9314285516738892,0.9399999976158142,0.2408534288406372,0.1600569188594818,0.8758367896080017,0.9118094444274902
8,0.9300000071525574,0.9150000214576721,0.21097061038017273,0.1724848747253418,0.8654694557189941,0.834476113319397
9,0.9128571152687073,0.9350000023841858,0.2384311407804489,0.15015830099582672,0.8735783100128174,0.8918094635009766
10,0.9242857098579407,0.9300000071525574,0.23419274389743805,0.15782661736011505,0.8431021571159363,0.8918094635009766
11,0.9285714030265808,0.9300000071525574,0.22824130952358246,0.16781622171401978,0.8586395382881165,0.8704760670661926
12,0.9242857098579407,0.9150000214576721,0.23487527668476105,0.18246039748191833,0.8493335247039795,0.8378094434738159
13,0.9314285516738892,0.9200000166893005,0.2151857167482376,0.1580933779478073,0.8655511736869812,0.8424761891365051
14,0.9357143044471741,0.9549999833106995,0.2139410376548767,0.13976994156837463,0.8625578284263611,0.9319999814033508
15,0.9314285516738892,0.9150000214576721,0.2121318280696869,0.19256331026554108,0.8751022815704346,0.8258095383644104
16,0.9300000071525574,0.9300000071525574,0.20304197072982788,0.18127679824829102,0.8622585535049438,0.8851429224014282
17,0.9257143139839172,0.9300000071525574,0.2167501598596573,0.17795385420322418,0.8354830741882324,0.8851428031921387
18,0.9357143044471741,0.9599999785423279,0.17628562450408936,0.17111191153526306,0.8533062934875488,0.9424760937690735
19,0.9357143044471741,0.9549999833106995,0.19249695539474487,0.18761233985424042,0.8834558725357056,0.9358094930648804
20,0.9342857003211975,0.949999988079071,0.1881634145975113,0.1562596559524536,0.8720272183418274,0.9091428518295288
21,0.9357143044471741,0.925000011920929,0.18792518973350525,0.15700803697109222,0.8635649085044861,0.8704760670661926
22,0.9328571557998657,0.9200000166893005,0.1969844549894333,0.19164533913135529,0.8622041344642639,0.8544761538505554
23,0.9385714530944824,0.9049999713897705,0.19612765312194824,0.1959960162639618,0.8578504323959351,0.8104761242866516
24,0.9300000071525574,0.9449999928474426,0.19347842037677765,0.17012536525726318,0.8463946580886841,0.9184761643409729
25,0.9285714030265808,0.9200000166893005,0.18678881227970123,0.1696847379207611,0.8546123504638672,0.8411428332328796
