,acc,val_acc,loss,val_loss
0,0.5306122303009033,0.5714285969734192,0.910534918308258,0.6976990699768066
1,0.5442177057266235,0.523809552192688,0.8697050213813782,0.7106728553771973
2,0.5068027377128601,0.5476190447807312,0.9815718531608582,0.716498613357544
3,0.4727891087532043,0.5952380895614624,0.9298402667045592,0.7119435667991638
4,0.5510203838348389,0.5476190447807312,0.8552367091178894,0.7584139108657837
5,0.5306122303009033,0.523809552192688,0.8221017122268677,0.7881899476051331
6,0.4795918464660644,0.5595238208770752,0.905659556388855,0.757396399974823
7,0.5204081535339355,0.5833333134651184,0.9413042068481444,0.7435524463653564
8,0.5510203838348389,0.5595238208770752,0.8313707709312439,0.7865439057350159
9,0.523809552192688,0.6190476417541504,0.8784058094024658,0.776792049407959
10,0.5306122303009033,0.5357142686843872,0.8704636693000793,0.787093460559845
11,0.5476190447807312,0.5714285969734192,0.8189931511878967,0.7909121513366699
12,0.5646258592605591,0.5357142686843872,0.8358361124992371,0.8212549090385437
13,0.5408163070678711,0.5476190447807312,0.8776443600654602,0.802904486656189
14,0.5714285969734192,0.511904776096344,0.7826976776123047,0.7963064908981323
15,0.5612244606018066,0.5714285969734192,0.7839869856834412,0.8239513635635376
16,0.5918367505073547,0.5714285969734192,0.7967872619628906,0.7789450883865356
17,0.5850340127944946,0.5476190447807312,0.6929327845573425,0.6918591856956482
18,0.6768707633018494,0.6785714030265808,0.5980829000473022,0.6787471175193787
19,0.7448979616165161,0.6666666865348816,0.5555049777030945,0.6623532176017761
20,0.761904776096344,0.5952380895614624,0.5016959309577942,0.6437094807624817
21,0.8061224222183228,0.7976190447807312,0.4377410411834717,0.5792655944824219
22,0.8401360511779785,0.6785714030265808,0.4187374711036682,0.5598613023757935
23,0.8095238208770752,0.6547619104385376,0.42280006408691406,0.567537248134613
24,0.8503401279449463,0.6547619104385376,0.3758928179740906,0.5526745319366455
25,0.8265306353569031,0.6785714030265808,0.38599729537963867,0.544707179069519
26,0.8401360511779785,0.7023809552192688,0.3925357460975647,0.4992768466472626
27,0.853741466999054,0.8452380895614624,0.314610093832016,0.39072495698928833
28,0.8707482814788818,0.7857142686843872,0.32380422949790955,0.40924039483070374
29,0.8673469424247742,0.6904761791229248,0.3103671073913574,0.6654404997825623
30,0.8639456033706665,0.75,0.35579007863998413,0.44988855719566345
31,0.853741466999054,0.761904776096344,0.35883235931396484,0.4547119736671448
32,0.8639456033706665,0.761904776096344,0.3174493610858917,0.40690532326698303
33,0.8605442047119141,0.8095238208770752,0.3446698486804962,0.34556108713150024
34,0.8639456033706665,0.7857142686843872,0.30439481139183044,0.34468239545822144
